,Unnamed: 0,ID,Cli_FB_eng,Cli_TW_eng,Cli_articlecount,Top_FB_eng,Top_TW_eng,Top_articlecount,date_time,Pro_FB_eng,Pro_TW_eng,Mean_Cli_TW_eng,Mean_Cli_FB_eng
19,19,20,19482012,1534040,106674,562300275.0,21684220.0,157672.0,2018-08-01,0.03464698999124623,0.07074453219899078,14.380636331252227,182.6313065976714
20,20,21,24458292,1926532,133633,806665673.0,32124188.0,155844.0,2018-09-01,0.03032023404323045,0.059971383556838856,14.41658871685886,183.02583942589033
21,21,22,42220643,3085345,146330,866463280.0,30398435.0,161600.0,2018-10-01,0.048727561772727405,0.10149683692597991,21.08484247932755,288.5303287090822
22,22,23,64760530,3108623,141702,970560122.0,27704886.0,156235.0,2018-11-01,0.06672490300399958,0.11220486523568442,21.937749643618297,457.0191669842345
23,23,24,40984530,2362752,132571,908808985.0,22898824.0,160654.0,2018-12-01,0.04509696831397414,0.10318224202255977,17.82254037459173,309.1515489813006
24,24,25,56284779,2503330,133265,1217216753.0,24403911.0,160565.0,2019-01-01,0.04624055564572072,0.10257904972690648,18.784602108580646,422.352298052752
25,25,26,72787085,2859161,126496,989956105.0,19701815.0,144875.0,2019-02-01,0.07352556808566779,0.14512170579208059,22.602777953453074,575.4101710726031
26,26,27,67466969,2992602,145441,1090953664.0,26338479.0,160145.0,2019-03-01,0.06184219479371032,0.11362091182258474,20.576054895112108,463.8786105706094
27,27,28,62988689,2988757,139132,1001560066.0,24815279.0,154646.0,2019-04-01,0.06289057555136189,0.12044019331799574,21.4814492711957,452.7261090187735
28,28,29,59731179,2663177,140384,1014555849.0,22304411.0,159291.0,2019-05-01,0.05887421481909962,0.11940135966827368,18.970659049464327,425.4842360952815
29,29,30,64269308,2199963,131371,1152030425.0,15721364.0,155359.0,2019-06-01,0.055787856470891385,0.13993461381595135,16.74618446993629,489.21990393618074
30,30,31,72530054,2885170,133509,1103497001.0,23581279.0,162653.0,2019-07-01,0.06572745909981861,0.12235002181179401,21.61030342523725,543.2596603974264
31,31,32,62590431,3068258,139944,937098129.0,20115769.0,161339.0,2019-08-01,0.06679175751507663,0.15252998779216445,21.924898530840906,447.25340850625963
32,32,33,93488036,4246239,135288,1040863651.0,22751074.0,157276.0,2019-09-01,0.08981775462154168,0.1866390571275888,31.386664005676778,691.029773520194
33,33,34,60732420,2300705,136441,1261892811.0,24542223.0,161571.0,2019-10-01,0.048128033911114816,0.09374476794543021,16.862270138741287,445.1185494096349
34,34,35,67733938,2053105,133707,1318519299.0,22799621.0,156949.0,2019-11-01,0.05137121470377507,0.09004996179541756,15.355254399545274,506.5848310110914
35,35,36,84501228,2486739,130281,1413102388.0,21007389.0,162477.0,2019-12-01,0.05979837605369612,0.11837449194661935,19.087503166232988,648.607456190849
36,36,37,84359583,2552262,139991,1974159618.0,25043597.0,160700.0,2020-01-01,0.042731895754945994,0.10191275638239986,18.23161488952861,602.6071890335808
37,37,38,92663170,1951962,127473,2318248816.0,25329036.0,150709.0,2020-02-01,0.039971192634915165,0.07706420410156944,15.31274858205267,726.9238976096899
38,38,39,91242924,2287066,119719,2801096944.0,32593731.0,165137.0,2020-03-01,0.03257399719614988,0.07016889229404268,19.10361763796891,762.1423834144956
39,39,40,67876796,1783451,107282,2678661947.0,33348366.0,158261.0,2020-04-01,0.025339814184473498,0.0534794118548417,16.623953692138475,632.6951026267221
40,40,41,53805517,1607055,95032,2503595438.0,32803689.0,163058.0,2020-05-01,0.021491298547413315,0.04899006937908721,16.91067219462918,566.183148834077
41,41,42,60501650,1868268,110208,2941071736.0,35874844.0,156997.0,2020-06-01,0.020571293538825808,0.052077383249387786,16.952199477351915,548.9769345238095
42,42,43,59358773,2250920,117401,2165407823.0,32931171.0,163954.0,2020-07-01,0.027412283436642964,0.0683522611449195,19.17292016251991,505.60704764013934
43,43,44,62988501,2147863,115232,1879788707.0,29797289.0,165429.0,2020-08-01,0.03350828780141193,0.07208249716945726,18.639466467647875,546.6233424743127
44,44,45,73221686,3011393,127191,1523278103.0,31765979.0,159470.0,2020-09-01,0.04806849508031036,0.09479931344159108,23.676148469624422,575.6829178165121
45,45,46,68333815,3888340,130581,1504622765.0,37127173.0,164662.0,2020-10-01,0.04541591194122335,0.10473030090386898,29.777226395876887,523.3059556903378
